"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
202,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上里","東岡崎","1H?1H30",12000000,"","","150",,"袋地等","","85","昭和54年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
203,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上里","東岡崎","1H?1H30",21000000,"520000","","130",160000,"長方形","12.8","","","","","住宅","南","市道",12.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
204,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上里","東岡崎","1H?1H30",38000000,"","","240",,"長方形","11.0","145","昭和64年","木造","住宅","住宅","南","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
205,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上六名","東岡崎","14",9000000,"470000","","65",140000,"不整形","10.4","","","","","その他","北西","県道",18.0,"準住居地域",60,200,"2018年第４四半期","",""
206,"中古マンション等","","23202","愛知県","岡崎市","上六名","東岡崎","14",30000000,"","３ＬＤＫ","80",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"工業地域",,,"2018年第４四半期","未改装",""
207,"中古マンション等","","23202","愛知県","岡崎市","上六名","東岡崎","23",17000000,"","３ＬＤＫ","70",,"","","","平成13年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
208,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上六名","東岡崎","18",32000000,"","","160",,"長方形","9.5","100","平成23年","軽量鉄骨造","住宅","住宅","南","市道",6.0,"工業地域",60,200,"2018年第３四半期","",""
209,"中古マンション等","","23202","愛知県","岡崎市","上六名","東岡崎","15",25000000,"","３ＬＤＫ","80",,"","","","平成24年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第３四半期","未改装",""
210,"中古マンション等","","23202","愛知県","岡崎市","上六名","東岡崎","21",9200000,"","","65",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","未改装",""
211,"中古マンション等","","23202","愛知県","岡崎市","上六名","東岡崎","21",5700000,"","","65",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","",""
212,"宅地(土地)","商業地","23202","愛知県","岡崎市","上六名","東岡崎","15",10000000,"450000","","75",140000,"不整形","8.0","","","","","住宅","北西","県道",18.0,"準住居地域",60,200,"2018年第１四半期","","隣地の購入"
213,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上六名町","東岡崎","14",13000000,"","","85",,"不整形","11.4","140","昭和46年","木造","住宅","住宅","北西","県道",18.0,"工業地域",60,200,"2018年第４四半期","",""
214,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上和田町","岡崎","15",27000000,"460000","","195",140000,"ほぼ正方形","14.3","","","","","","南東","市道",5.4,"第１種住居地域",60,200,"2018年第２四半期","",""
215,"中古マンション等","","23202","愛知県","岡崎市","上和田町","岡崎","8",18000000,"","２ＬＤＫ","80",,"","","","平成23年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
216,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",27000000,"580000","","155",180000,"ほぼ長方形","8.2","","","","","住宅","東","市道",7.0,"第１種住居地域",60,200,"2019年第１四半期","",""
217,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",40000000,"","","200",,"長方形","7.5","105","平成30年","木造","住宅","住宅","南西","市道",5.5,"第１種住居地域",60,200,"2019年第１四半期","",""
218,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",22000000,"400000","","180",120000,"長方形","8.0","","","","","住宅","東","道路",4.0,"準工業地域",60,200,"2018年第４四半期","",""
219,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",20000000,"230000","","290",69000,"袋地等","3.0","","","","","住宅","南西","市道",5.5,"準工業地域",60,200,"2018年第４四半期","",""
220,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",23000000,"560000","","135",170000,"ほぼ長方形","7.0","","","","","","東","市道",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
221,"宅地(土地)","工業地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",30000000,"210000","","460",65000,"ほぼ整形","18.0","","","","","工場","北東","市道",1.8,"準工業地域",60,200,"2018年第４四半期","",""
222,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",40000000,"","","410",,"ほぼ長方形","28.1","120","昭和43年","木造","住宅","住宅","東","市道",4.0,"第１種住居地域",60,200,"2018年第３四半期","",""
223,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",21000000,"340000","","200",100000,"ほぼ長方形","11.5","","","","","住宅","西","県道",16.8,"準工業地域",60,200,"2018年第１四半期","",""
224,"宅地(土地)","住宅地","23202","愛知県","岡崎市","鴨田町","東岡崎","30分?60分",25000000,"490000","","165",150000,"ほぼ長方形","9.5","","","","","住宅","南西","市道",5.5,"準工業地域",60,200,"2018年第１四半期","",""
225,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","鴨田本町","東岡崎","30分?60分",32000000,"","","195",,"袋地等","3.0","105","平成30年","木造","住宅","住宅","南東","市道",5.9,"準工業地域",60,200,"2018年第４四半期","",""
226,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","鴨田本町","東岡崎","30分?60分",35000000,"","","135",,"長方形","7.0","105","平成30年","木造","住宅","住宅","南東","市道",6.0,"準工業地域",60,200,"2018年第３四半期","",""
227,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","河原町","東岡崎","30分?60分",67000000,"","","730",,"ほぼ長方形","17.0","360","平成3年","鉄骨造","倉庫","店舗","南","市道",16.0,"第１種住居地域",60,200,"2018年第２四半期","",""
228,"宅地(土地)","住宅地","23202","愛知県","岡崎市","河原町","東岡崎","1H?1H30",28000000,"360000","","260",110000,"ほぼ長方形","16.0","","","","","","東","市道",7.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
229,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","河原町","東岡崎","1H?1H30",37000000,"","","125",,"ほぼ長方形","15.4","110","平成31年","木造","住宅","","東","市道",7.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
230,"林地","","23202","愛知県","岡崎市","木下町","","",1100000,"","","540",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
231,"宅地(土地)","住宅地","23202","愛知県","岡崎市","北野町","宇頭","30分?60分",11000000,"170000","","210",51000,"不整形","2.5","","","","","","北西","市道",4.0,"工業地域",60,200,"2018年第４四半期","",""
232,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","北野町","宇頭","30分?60分",55000000,"","","170",,"長方形","9.7","","","","","","東","市道",4.0,"工業地域",60,200,"2018年第２四半期","",""
233,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","北野町","宇頭","30分?60分",34000000,"","","155",,"不整形","10.9","110","平成30年","木造","住宅","住宅","南","道路",6.0,"工業地域",60,200,"2018年第２四半期","",""
234,"中古マンション等","","23202","愛知県","岡崎市","北野町","宇頭","30分?60分",13000000,"","５ＬＤＫ","95",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第２四半期","未改装",""
235,"中古マンション等","","23202","愛知県","岡崎市","北野町","北野桝塚","8",11000000,"","３ＬＤＫ","70",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第１四半期","未改装",""
236,"宅地(土地)","住宅地","23202","愛知県","岡崎市","北野町","矢作橋","30分?60分",21000000,"310000","","220",94000,"不整形","7.2","","","","","住宅","南西","道路",4.0,"工業地域",60,200,"2019年第１四半期","",""
237,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","北本郷町","矢作橋","8",32000000,"","","120",,"長方形","7.8","95","平成31年","木造","住宅","住宅","南西","市道",7.0,"第１種住居地域",60,200,"2019年第１四半期","","私道を含む取引"
238,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","北本郷町","矢作橋","11",34000000,"","","110",,"長方形","8.0","90","平成30年","木造","住宅","住宅","南西","道路",4.0,"第１種住居地域",60,200,"2018年第４四半期","",""
239,"林地","","23202","愛知県","岡崎市","切越町","","",200000,"","","360",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
240,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","久後崎町","東岡崎","9",41000000,"","","330",,"不整形","16.8","470","昭和45年","鉄骨造","住宅、駐車場","店舗","北","市道",7.0,"工業地域",60,200,"2019年第１四半期","",""
241,"宅地(土地)","住宅地","23202","愛知県","岡崎市","久後崎町","東岡崎","7",17000000,"270000","","200",83000,"袋地等","","","","","","住宅","東","市道",3.5,"工業地域",60,200,"2019年第１四半期","",""
242,"宅地(土地)","住宅地","23202","愛知県","岡崎市","久後崎町","東岡崎","6",19000000,"300000","","210",90000,"袋地等","2.5","","","","","住宅","東","市道",3.0,"工業地域",60,200,"2018年第４四半期","",""
243,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","久後崎町","東岡崎","11",45000000,"","","140",,"長方形","6.1","105","平成30年","木造","住宅","住宅","北","市道",6.0,"工業地域",60,200,"2018年第４四半期","",""
244,"宅地(土地)","住宅地","23202","愛知県","岡崎市","久後崎町","東岡崎","10",20000000,"380000","","170",120000,"ほぼ整形","6.0","","","","","住宅","南","市道",2.7,"工業地域",60,200,"2018年第１四半期","",""
245,"宅地(土地)","住宅地","23202","愛知県","岡崎市","桑原町","東岡崎","1H30?2H",28000000,"280000","","340",84000,"ほぼ台形","17.0","","","","","住宅","西","市道",9.0,"市街化調整区域",60,200,"2018年第１四半期","",""
246,"林地","","23202","愛知県","岡崎市","毛呂町","","",10000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
247,"宅地(土地)","住宅地","23202","愛知県","岡崎市","康生町","東岡崎","18",8000000,"250000","","105",75000,"長方形","5.5","","","","","","西","市道",5.5,"商業地域",80,400,"2019年第１四半期","",""
248,"中古マンション等","","23202","愛知県","岡崎市","康生町","東岡崎","9",34000000,"","３ＬＤＫ","90",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第１四半期","未改装",""
249,"宅地(土地)","商業地","23202","愛知県","岡崎市","康生町","東岡崎","12",64000000,"460000","","460",140000,"ほぼ台形","33.0","","","","","その他","北","国道",26.0,"商業地域",80,400,"2018年第１四半期","",""
250,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","小針町","宇頭","21",35000000,"","","260",,"ほぼ長方形","11.0","155","平成6年","木造","住宅","その他","南西","市道",4.8,"第１種住居地域",60,200,"2019年第１四半期","",""
251,"宅地(土地)","住宅地","23202","愛知県","岡崎市","小針町","宇頭","23",3300000,"70000","","155",21000,"不整形","14.5","","","","","","西","市道",2.6,"工業地域",60,200,"2018年第４四半期","",""
252,"宅地(土地)","住宅地","23202","愛知県","岡崎市","小針町","宇頭","26",21000000,"400000","","175",120000,"袋地等","3.0","","","","","住宅","北","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
253,"宅地(土地)","工業地","23202","愛知県","岡崎市","小針町","宇頭","19",9000000,"30000","","990",9100,"長方形","18.0","","","","","","東","市道",2.5,"市街化調整区域",60,200,"2018年第２四半期","",""
254,"宅地(土地)","宅地見込地","23202","愛知県","岡崎市","小針町","宇頭","25",25000000,"520000","","160",160000,"ほぼ正方形","11.0","","","","","住宅","北","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
255,"農地","","23202","愛知県","岡崎市","小針町","","",2400000,"","","1000",,"","","","","","","","","",,"",,,"2018年第４四半期","",""
256,"農地","","23202","愛知県","岡崎市","小針町","","",8000000,"","","2100",,"","","","","","","","","",,"",,,"2018年第３四半期","",""
257,"農地","","23202","愛知県","岡崎市","小針町","","",8400000,"","","4000",,"","","","","","","","","",,"",,,"2018年第２四半期","",""
258,"農地","","23202","愛知県","岡崎市","小針町","","",6300000,"","","3000",,"","","","","","","","","",,"",,,"2018年第２四半期","",""
259,"林地","","23202","愛知県","岡崎市","才栗町","","",85000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2018年第４四半期","",""
260,"林地","","23202","愛知県","岡崎市","才栗町","","",7000000,"","","630",,"","","","","","","","","",,"",,,"2018年第４四半期","",""
261,"宅地(土地)","工業地","23202","愛知県","岡崎市","在家町","岡崎","30分?60分",23000000,"190000","","390",59000,"長方形","30.9","","","","","","東","市道",9.4,"工業専用地域",60,200,"2018年第２四半期","",""
262,"宅地(土地)","工業地","23202","愛知県","岡崎市","在家町","岡崎","30分?60分",160000000,"180000","","2000㎡以上",55000,"長方形","50.0m以上","","","","","","北","市道",5.0,"工業専用地域",60,200,"2018年第２四半期","",""
263,"中古マンション等","","23202","愛知県","岡崎市","材木町","東岡崎","17",6000000,"","３ＬＤＫ","65",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2018年第４四半期","未改装",""
264,"中古マンション等","","23202","愛知県","岡崎市","材木町","東岡崎","21",16000000,"","３ＬＤＫ","70",,"","","","昭和64年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2018年第４四半期","改装済",""
265,"中古マンション等","","23202","愛知県","岡崎市","材木町","東岡崎","21",800000,"","３ＬＤＫ","70",,"","","","昭和64年","ＲＣ","","住宅","","",,"商業地域",80,400,"2018年第３四半期","未改装",""
266,"中古マンション等","","23202","愛知県","岡崎市","材木町","東岡崎","16",8500000,"","２ＬＤＫ","70",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2018年第２四半期","改装済",""
267,"中古マンション等","","23202","愛知県","岡崎市","材木町","東岡崎","16",6700000,"","２ＬＤＫ","55",,"","","","昭和58年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2018年第１四半期","改装済",""
268,"宅地(土地)","住宅地","23202","愛知県","岡崎市","栄町","東岡崎","20",12000000,"400000","","100",120000,"長方形","6.7","","","","","住宅","南西","市道",6.2,"工業地域",60,200,"2018年第４四半期","",""
269,"中古マンション等","","23202","愛知県","岡崎市","栄町","東岡崎","30分?60分",12000000,"","４ＬＤＫ","85",,"","","","平成5年","ＳＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第１四半期","未改装",""
270,"宅地(土地)","住宅地","23202","愛知県","岡崎市","坂左右町","岡崎","30分?60分",12000000,"210000","","190",63000,"長方形","12.1","","","","","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
271,"宅地(土地)","住宅地","23202","愛知県","岡崎市","坂左右町","岡崎","30分?60分",16000000,"300000","","180",90000,"ほぼ長方形","11.8","","","","","住宅","南東","市道",4.0,"市街化調整区域",60,200,"2018年第２四半期","",""
272,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","桜井寺町","本宿(愛知)","1H?1H30",7500000,"","","140",,"ほぼ台形","4.0","75","昭和54年","木造","住宅","住宅","西","市道",4.0,"市街化調整区域",60,200,"2018年第３四半期","",""
273,"宅地(土地)","商業地","23202","愛知県","岡崎市","島町","東岡崎","6",52000000,"300000","","580",89000,"不整形","22.0","","","","","店舗","南","国道",24.0,"商業地域",80,400,"2018年第３四半期","",""
274,"宅地(土地)","住宅地","23202","愛知県","岡崎市","下佐々木町","西岡崎","30分?60分",2600000,"13000","","660",3900,"不整形","50.0m以上","","","","","","北西","市道",8.0,"市街化調整区域",60,200,"2018年第４四半期","",""
275,"宅地(土地)","住宅地","23202","愛知県","岡崎市","下和田町","岡崎","30分?60分",13000000,"230000","","180",69000,"長方形","14.1","","","","","","北東","市道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
276,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","下和田町","岡崎","30分?60分",55000000,"","","185",,"ほぼ長方形","","","","","","住宅","南東","市道",3.0,"第１種住居地域",60,200,"2018年第２四半期","",""
277,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","下和田町","岡崎","30分?60分",26000000,"","","160",,"長方形","10.5","100","平成29年","木造","住宅","住宅","北西","市道",3.0,"第１種住居地域",60,200,"2018年第１四半期","",""
278,"宅地(土地)","商業地","23202","愛知県","岡崎市","十王町","東岡崎","10",29000000,"520000","","185",160000,"長方形","10.6","","","","","住宅","北","市道",12.0,"商業地域",80,400,"2018年第３四半期","",""
279,"宅地(土地)","商業地","23202","愛知県","岡崎市","十王町","東岡崎","11",5100000,"360000","","45",110000,"ほぼ長方形","4.0","","","","","住宅","北東","市道",12.0,"商業地域",80,400,"2018年第２四半期","",""
280,"宅地(土地)","商業地","23202","愛知県","岡崎市","十王町","東岡崎","9",92000000,"380000","","800",110000,"不整形","16.7","","","","","住宅","西","市道",4.0,"商業地域",80,400,"2018年第２四半期","",""
281,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","庄司田","岡崎","23",22000000,"","","180",,"長方形","8.2","140","昭和62年","木造","共同住宅","住宅","北","市道",6.0,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
282,"宅地(土地)","住宅地","23202","愛知県","岡崎市","庄司田","岡崎","19",19000000,"520000","","125",160000,"長方形","6.3","","","","","住宅","北","市道",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
283,"中古マンション等","","23202","愛知県","岡崎市","正名町","岡崎","1H?1H30",4700000,"","３ＬＤＫ","60",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"市街化調整区域",60,200,"2018年第３四半期","",""
284,"宅地(土地)","住宅地","23202","愛知県","岡崎市","正名町","岡崎","1H?1H30",9000000,"140000","","210",42000,"ほぼ長方形","17.5","","","","","","北","私道",4.0,"第２種中高層住居専用地域",60,200,"2018年第２四半期","",""
285,"宅地(土地)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","15",21000000,"400000","","175",120000,"長方形","7.8","","","","","住宅","南西","市道",12.0,"第１種住居地域",60,200,"2018年第４四半期","",""
286,"宅地(土地)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","10",26000000,"500000","","175",150000,"ほぼ長方形","8.0","","","","","","北東","市道",6.0,"準工業地域",60,200,"2018年第３四半期","",""
287,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","21",30000000,"","","105",,"長方形","8.8","100","平成30年","木造","住宅","住宅","北東","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
288,"宅地(土地)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","23",22000000,"570000","","125",170000,"長方形","6.3","","","","","住宅","北東","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
289,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","10",25000000,"","","100",,"長方形","7.1","75","平成22年","木造","住宅","住宅","南東","市道",6.2,"準工業地域",60,200,"2018年第１四半期","",""
290,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","城南町","岡崎","23",33000000,"","","125",,"長方形","6.2","100","平成30年","木造","住宅","住宅","北東","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
291,"宅地(土地と建物)","宅地見込地","23202","愛知県","岡崎市","昭和町","西岡崎","5",28000000,"","","200",,"ほぼ長方形","13.0","210","昭和64年","鉄骨造","","住宅","南西","県道",18.0,"第１種住居地域",60,200,"2018年第２四半期","",""
292,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真宮町","東岡崎","24",31000000,"","","300",,"長方形","13.4","230","平成3年","軽量鉄骨造","共同住宅","住宅","西","市道",8.0,"第１種住居地域",60,200,"2018年第３四半期","",""
293,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝","東岡崎","30分?60分",64000000,"330000","","630",100000,"不整形","20.0","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
294,"宅地(土地)","宅地見込地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",30000000,"29000","","2000㎡以上",8800,"ほぼ整形","50.0m以上","","","","","","西","市道",6.0,"第１種低層住居専用地域",60,100,"2019年第１四半期","",""
295,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",34000000,"","","240",,"ほぼ長方形","20.8","135","平成13年","軽量鉄骨造","住宅","住宅","東","市道",12.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
296,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",72000000,"","","260",,"不整形","14.4","155","平成31年","","住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
297,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",21000000,"150000","","460",45000,"不整形","28.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第４四半期","",""
298,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","1H?1H30",50000000,"","","440",,"ほぼ長方形","21.0","300","平成30年","鉄骨造","","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
299,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",21000000,"340000","","200",100000,"長方形","8.8","","","","","住宅","南","市道",9.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
300,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",58000000,"","","200",,"長方形","10.0","120","平成31年","軽量鉄骨造","住宅","住宅","南","道路",9.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
301,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",30000000,"470000","","210",140000,"ほぼ長方形","13.0","","","","","住宅","南","市道",9.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
302,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",24000000,"620000","","125",190000,"ほぼ長方形","7.5","","","","","住宅","南東","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
303,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",21000000,"340000","","200",100000,"ほぼ長方形","10.8","","","","","住宅","南","市道",9.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
304,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",21000000,"340000","","210",100000,"長方形","11.5","","","","","住宅","北","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
305,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",7200000,"280000","","85",85000,"長方形","4.3","","","","","住宅","北","市道",6.1,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
306,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",57000000,"","","230",,"ほぼ長方形","","120","平成20年","","住宅","住宅","北西","市道",12.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
307,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",22000000,"340000","","210",100000,"長方形","16.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
308,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",51000000,"","","200",,"長方形","15.0","135","平成20年","木造","住宅","住宅","北","市道",9.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
309,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",70000000,"290000","","790",88000,"ほぼ長方形","","","","","","住宅","南","市道",12.0,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
310,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝吉祥","東岡崎","30分?60分",35000000,"480000","","240",150000,"ほぼ長方形","11.0","","","","","住宅","南","区画街路",12.0,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
311,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",30000000,"350000","","280",110000,"ほぼ長方形","8.0","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
312,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",73000000,"","","1600",,"不整形","50.0m以上","240","平成7年","木造","住宅","住宅","南東","市道",8.5,"第１種中高層住居専用地域",60,200,"2019年第１四半期","",""
313,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",24000000,"","","165",,"ほぼ長方形","13.5","100","平成16年","木造","住宅","住宅","南","道路",5.0,"第１種住居地域",60,200,"2018年第３四半期","",""
314,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",24000000,"","","200",,"ほぼ長方形","13.5","150","昭和57年","木造","住宅","住宅","西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
315,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",17000000,"390000","","145",120000,"長方形","13.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
316,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",11000000,"170000","","220",51000,"袋地等","3.4","","","","","","北西","区画街路",6.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
317,"宅地(土地)","商業地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",23000000,"320000","","230",98000,"長方形","11.0","","","","","その他","南","県道",12.0,"第１種住居地域",60,200,"2018年第２四半期","",""
318,"宅地(土地)","商業地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",29000000,"260000","","360",79000,"不整形","27.0","","","","","","北","県道",12.0,"第１種住居地域",60,200,"2018年第２四半期","",""
319,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","1H?1H30",30000000,"","","135",,"ほぼ長方形","14.0","105","平成30年","木造","住宅","住宅","東","市道",4.0,"第１種住居地域",60,200,"2018年第２四半期","",""
320,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",53000000,"","","210",,"長方形","9.4","120","平成30年","木造","住宅","","南","道路",6.0,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
321,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真伝町","東岡崎","30分?60分",30000000,"350000","","280",110000,"長方形","20.5","","","","","住宅","東","区画街路",6.0,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
322,"宅地(土地)","住宅地","23202","愛知県","岡崎市","真福寺町","東岡崎","1H?1H30",1000000,"10000","","340",3000,"台形","16.0","","","","","","北","市道",7.5,"市街化調整区域",60,200,"2018年第１四半期","",""
323,"林地","","23202","愛知県","岡崎市","真福寺町","","",100000,"","","400",,"","","","","","","その他","","",,"",,,"2018年第４四半期","",""
