"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
563,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東大友町","矢作橋","14",8600000,"190000","","150",56000,"袋地等","4.0","","","","","その他","南東","私道",7.0,"準工業地域",60,200,"2018年第４四半期","",""
564,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東大友町","矢作橋","21",22000000,"150000","","500",45000,"ほぼ長方形","","","","","","","南東","市道",4.0,"第１種住居地域",60,200,"2018年第３四半期","",""
565,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東大友町","矢作橋","18",150000000,"250000","","2000㎡以上",76000,"長方形","36.5","","","","","","北西","市道",4.0,"第１種住居地域",60,200,"2018年第３四半期","",""
566,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東大友町","矢作橋","26",60000000,"200000","","980",61000,"長方形","18.0","","","","","","南東","市道",3.6,"第１種住居地域",60,200,"2018年第３四半期","",""
567,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東蔵前","東岡崎","1H?1H30",17000000,"320000","","175",97000,"台形","10.0","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
568,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","東蔵前","東岡崎","1H?1H30",36000000,"","","125",,"長方形","5.6","100","平成30年","木造","住宅","住宅","南","市道",9.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
569,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","東蔵前","東岡崎","1H?1H30",34000000,"","","160",,"長方形","23.0","100","平成30年","木造","住宅","住宅","北","県道",12.0,"第１種住居地域",60,200,"2018年第３四半期","",""
570,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東蔵前","東岡崎","1H?1H30",17000000,"330000","","165",100000,"長方形","8.7","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
571,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東蔵前","東岡崎","1H?1H30",20000000,"420000","","155",130000,"ほぼ台形","10.0","","","","","住宅","南西","市道",12.0,"第１種住居地域",60,200,"2018年第２四半期","",""
572,"農地","","23202","愛知県","岡崎市","東蔵前","","",1000000,"","","440",,"","","","","","","","","",,"",,,"2018年第４四半期","","隣地の購入"
573,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東蔵前町","東岡崎","1H?1H30",4500000,"98000","","150",30000,"長方形","7.0","","","","","","東","道路",1.0,"第１種住居地域",60,200,"2018年第３四半期","",""
574,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","東蔵前町","東岡崎","1H?1H30",35000000,"","","170",,"袋地等","4.0","","","","住宅","住宅","北東","市道",4.0,"第１種住居地域",60,200,"2018年第３四半期","",""
575,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","東蔵前町","東岡崎","1H?1H30",47000000,"","","170",,"不整形","4.0","125","平成31年","","","住宅","北東","市道",3.5,"第１種住居地域",60,200,"2018年第３四半期","",""
576,"宅地(土地)","住宅地","23202","愛知県","岡崎市","東蔵前町","東岡崎","1H?1H30",42000000,"380000","","360",110000,"不整形","14.5","","","","","その他","北","市道",9.0,"商業地域",80,400,"2018年第１四半期","",""
577,"農地","","23202","愛知県","岡崎市","東本郷町","","",4500000,"","","1000",,"","","","","","","","","",,"",,,"2018年第２四半期","",""
578,"農地","","23202","愛知県","岡崎市","東本郷町","","",4500000,"","","1000",,"","","","","","","","","",,"",,,"2018年第２四半期","",""
579,"中古マンション等","","23202","愛知県","岡崎市","東牧内町","西岡崎","5",16000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第２四半期","未改装",""
580,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","日名中町","東岡崎","30分?60分",34000000,"","","135",,"袋地等","3.0","120","平成30年","木造","住宅","住宅","東","市道",8.0,"工業地域",60,200,"2018年第１四半期","",""
581,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","福岡町","相見","30分?60分",34000000,"","","165",,"長方形","7.0","100","平成30年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"2018年第４四半期","",""
